Episode,Video,Status_Code,TimeSleep,ResponseTime,ServerLoads,MRT,QL,CountErrors
0,True,200,1,4.559103012084961,"[0.0, 0.0, 0.0]",6.390502399742886,0.0,0
1,False,200,3,4.519345998764038,"[0.0, 0.0, 0.0]",6.3883889805186875,0.0,0
2,False,200,3,4.5093536376953125,"[0.0, 0.0, 0.0]",6.386272213655253,0.0,0
3,True,200,1,4.491472005844116,"[0.0, 0.0, 0.0]",6.38413808296218,0.0,0
4,False,200,0,4.523409843444824,"[0.0, 0.0, 0.0]",6.382046322196694,0.0,0
5,True,200,2,4.577385425567627,"[0.0, 0.0, 0.0]",6.380007789494856,0.0,0
6,False,200,3,4.543261289596558,"[0.0, 0.0, 0.0]",6.377930279838713,0.0,0
7,False,200,1,4.519506454467773,"[0.0, 0.0, 0.0]",6.3758413158567615,0.0,0
8,False,200,0,4.522435426712036,"[0.0, 0.0, 0.0]",6.37375783651142,0.0,0
9,False,200,3,4.524967908859253,"[0.0, 0.0, 0.0]",6.371688885348184,0.0,0
10,False,200,2,4.519240617752075,"[0.0, 0.0, 0.0]",6.36961689666963,0.0,0
11,False,200,1,4.530739784240723,"[0.0, 0.0, 0.0]",6.367555979716174,0.0,0
12,True,200,1,4.5097503662109375,"[0.0, 0.0, 0.0]",6.365474684169165,0.0,0
13,True,200,2,4.530529737472534,"[0.0, 0.0, 0.0]",6.363410390494915,0.0,0
14,True,200,1,4.519193887710571,"[0.0, 0.0, 0.0]",6.361353274480108,0.0,0
15,True,200,1,4.5092244148254395,"[0.0, 0.0, 0.0]",6.359291656440663,0.0,0
16,False,200,1,4.515397071838379,"[0.0, 0.0, 0.0]",6.357232020126115,0.0,0
17,True,200,0,4.556020259857178,"[0.0, 0.0, 0.0]",6.3552153971213015,0.0,0
18,True,200,3,4.56057596206665,"[0.0, 0.0, 0.0]",6.353203928370623,0.0,0
19,True,200,3,4.519718408584595,"[0.0, 0.0, 0.0]",6.35116718401456,0.0,0
20,True,200,2,4.576266288757324,"[0.0, 0.0, 0.0]",6.349184293303379,0.0,0
21,True,200,1,4.567593812942505,"[0.0, 0.0, 0.0]",6.347188138607266,0.0,0
22,False,200,2,4.505525350570679,"[0.0, 0.0, 0.0]",6.345145275776543,0.0,0
23,True,200,2,4.536319017410278,"[0.0, 0.0, 0.0]",6.343129799848143,0.0,0
24,False,200,2,4.519603729248047,"[0.0, 0.0, 0.0]",6.341105298492177,0.0,0
25,True,200,1,4.534386396408081,"[0.0, 0.0, 0.0]",6.339096138212416,0.0,0
26,True,200,2,4.530824661254883,"[0.0, 0.0, 0.0]",6.337087615345718,0.0,0
27,False,200,3,4.539963722229004,"[0.0, 0.0, 0.0]",6.335091053007271,0.0,0
28,True,200,0,4.533038377761841,"[0.0, 0.0, 0.0]",6.333089487044105,0.0,0
29,False,200,3,4.544581174850464,"[0.0, 0.0, 0.0]",6.331108623984995,0.0,0
30,True,200,2,4.5094685554504395,"[0.0, 0.0, 0.0]",6.329099846545453,0.0,0
31,False,200,0,4.5523600578308105,"[0.0, 0.0, 0.0]",6.327129294639573,0.0,0
32,True,200,2,4.483274698257446,"[0.0, 0.0, 0.0]",6.325103214714871,0.0,0
33,True,200,0,4.525825500488281,"[0.0, 0.0, 0.0]",6.323113797342076,0.0,0
34,True,200,2,4.585721969604492,"[0.0, 0.0, 0.0]",6.321184424986195,0.0,0
35,False,200,2,4.552269220352173,"[0.0, 0.0, 0.0]",6.319234249132489,0.0,0
36,False,200,2,4.543675184249878,"[0.0, 0.0, 0.0]",6.317275872042592,0.0,0
37,False,200,2,4.529260635375977,"[0.0, 0.0, 0.0]",6.31530643426455,0.0,0
38,False,200,3,4.53070068359375,"[0.0, 0.0, 0.0]",6.313339169921945,0.0,0
39,True,200,1,4.554275989532471,"[0.0, 0.0, 0.0]",6.311400851994153,0.0,0
40,True,200,2,4.529951095581055,"[0.0, 0.0, 0.0]",6.309451143708948,0.0,0
41,True,200,3,4.590720891952515,"[0.0, 0.0, 0.0]",6.307553853214222,0.0,0
42,True,200,1,4.557074546813965,"[0.0, 0.0, 0.0]",6.3056313202613685,0.0,0
43,True,200,3,4.530157804489136,"[0.0, 0.0, 0.0]",6.303680073802371,0.0,0
44,True,200,1,4.530633449554443,"[0.0, 0.0, 0.0]",6.301740874367697,0.0,0
45,False,200,1,4.837139129638672,"[0.0, 0.0, 0.0]",6.299805401455273,0.0,0
46,True,200,0,4.532668590545654,"[0.0, 0.0, 0.0]",6.297874062197734,0.0,0
47,True,200,3,4.579209804534912,"[0.0, 0.0, 0.0]",6.295989218511079,0.0,0
48,True,200,3,4.5285866260528564,"[0.0, 0.0, 0.0]",6.294055889869752,0.0,0
49,False,200,0,4.544360637664795,"[0.0, 0.0, 0.0]",6.292143537730411,0.0,0
50,True,200,1,4.572998523712158,"[0.0, 0.0, 0.0]",6.290266242394081,0.0,0
51,True,200,1,4.542757511138916,"[0.0, 0.0, 0.0]",6.288360202937618,0.0,0
52,True,200,1,4.4955363273620605,"[0.0, 0.0, 0.0]",6.286416232747437,0.0,0
53,False,200,0,4.535075664520264,"[0.0, 0.0, 0.0]",6.284505296485088,0.0,0
54,True,200,1,4.550169229507446,"[0.0, 0.0, 0.0]",6.282614426316174,0.0,0
55,False,200,3,4.556752920150757,"[0.0, 0.0, 0.0]",6.280739099700171,0.0,0
56,True,200,1,4.588243246078491,"[0.0, 0.0, 0.0]",6.278891389805599,0.0,0
57,False,200,1,4.542980432510376,"[0.0, 0.0, 0.0]",6.277006552159357,0.0,0
58,False,200,3,4.5492942333221436,"[0.0, 0.0, 0.0]",6.2751265199786355,0.0,0
59,True,200,3,4.580678224563599,"[0.0, 0.0, 0.0]",6.273281908120887,0.0,0
60,False,200,0,4.543973922729492,"[0.0, 0.0, 0.0]",6.2714111037318485,0.0,0
61,False,200,1,4.546671390533447,"[0.0, 0.0, 0.0]",6.269545334641651,0.0,0
62,True,200,1,4.519074440002441,"[0.0, 0.0, 0.0]",6.267653756837495,0.0,0
63,True,200,1,4.513961315155029,"[0.0, 0.0, 0.0]",6.265758456399062,0.0,0
64,False,200,3,4.529092311859131,"[0.0, 0.0, 0.0]",6.263892318863651,0.0,0
65,True,200,3,4.573208332061768,"[0.0, 0.0, 0.0]",6.2620694971510344,0.0,0
66,False,200,1,4.546793699264526,"[0.0, 0.0, 0.0]",6.260219433177911,0.0,0
67,False,200,1,4.524816274642944,"[0.0, 0.0, 0.0]",6.258352927558137,0.0,0
68,True,200,1,4.559905290603638,"[0.0, 0.0, 0.0]",6.256519281535094,0.0,0
69,True,200,1,4.5629799365997314,"[0.0, 0.0, 0.0]",6.254694536487403,0.0,0
70,False,200,3,4.527692079544067,"[0.0, 0.0, 0.0]",6.252845576604208,0.0,0
71,False,200,0,4.540325880050659,"[0.0, 0.0, 0.0]",6.251004757720243,0.0,0
72,True,200,2,4.492569446563721,"[0.0, 0.0, 0.0]",6.24912862917334,0.0,0
73,True,200,2,4.565375804901123,"[0.0, 0.0, 0.0]",6.24731693052231,0.0,0
74,True,200,1,4.548228025436401,"[0.0, 0.0, 0.0]",6.245501268638564,0.0,0
75,True,200,1,4.534954309463501,"[0.0, 0.0, 0.0]",6.243677806854248,0.0,0
76,True,200,2,4.527771711349487,"[0.0, 0.0, 0.0]",6.241845957480312,0.0,0
77,True,200,2,4.498712539672852,"[0.0, 0.0, 0.0]",6.239990817152569,0.0,0
78,True,200,3,4.53728723526001,"[0.0, 0.0, 0.0]",6.238166957436046,0.0,0
79,True,200,2,4.577115058898926,"[0.0, 0.0, 0.0]",6.236386865955602,0.0,0
80,False,200,3,4.529240846633911,"[0.0, 0.0, 0.0]",6.2345708170651335,0.0,0
81,False,200,0,4.541844367980957,"[0.0, 0.0, 0.0]",6.232763644465258,0.0,0
82,True,200,1,4.52739405632019,"[0.0, 0.0, 0.0]",6.230948704842842,0.0,0
83,False,200,1,4.533923149108887,"[0.0, 0.0, 0.0]",6.229137242364129,0.0,0
84,True,200,3,4.490527629852295,"[0.0, 0.0, 0.0]",6.227303160189327,0.0,0
85,True,200,3,4.529796123504639,"[0.0, 0.0, 0.0]",6.225506378893266,0.0,0
86,True,200,0,4.560961723327637,"[0.0, 0.0, 0.0]",6.223732182689135,0.0,0
87,True,200,3,4.50223708152771,"[0.0, 0.0, 0.0]",6.2219114708608165,0.0,0
88,True,200,2,4.4939117431640625,"[0.0, 0.0, 0.0]",6.2200810494176775,0.0,0
89,True,200,2,4.553755283355713,"[0.0, 0.0, 0.0]",6.218313688164824,0.0,0
90,True,200,0,4.549341917037964,"[0.0, 0.0, 0.0]",6.2165495939129825,0.0,0
91,False,200,3,4.550722599029541,"[0.0, 0.0, 0.0]",6.214783835161419,0.0,0
92,True,200,2,4.520695686340332,"[0.0, 0.0, 0.0]",6.212994798537223,0.0,0
93,False,200,0,4.542324542999268,"[0.0, 0.0, 0.0]",6.211220726941936,0.0,0
94,True,200,3,4.5519983768463135,"[0.0, 0.0, 0.0]",6.20947065884596,0.0,0
95,True,200,1,4.5006279945373535,"[0.0, 0.0, 0.0]",6.207678222241609,0.0,0
96,True,200,0,4.455237150192261,"[0.0, 0.0, 0.0]",6.205844644460338,0.0,0
97,True,200,0,4.552309274673462,"[0.0, 0.0, 0.0]",6.2040954857236805,0.0,0
98,True,200,0,4.5354979038238525,"[0.0, 0.0, 0.0]",6.202332359753995,0.0,0
99,True,200,2,4.498530626296997,"[0.0, 0.0, 0.0]",6.20055069274671,0.0,0
100,False,200,3,4.529863357543945,"[0.0, 0.0, 0.0]",6.198800238283166,0.0,0
101,True,200,3,4.540518760681152,"[0.0, 0.0, 0.0]",6.197054777384629,0.0,0
102,True,200,0,4.66001033782959,"[0.0, 0.0, 0.0]",6.195411883661638,0.0,0
103,True,200,3,4.643838167190552,"[0.0, 0.0, 0.0]",6.19375838558085,0.0,0
104,True,200,0,4.507376194000244,"[0.0, 0.0, 0.0]",6.191998536058085,0.0,0
105,False,200,1,20.32276487350464,"[0.0, 0.0, 0.0]",6.202170877210025,0.0,0
106,True,200,2,91.10162997245789,"[0.0, 0.0, 0.0]",6.265818474931413,0.0,0
107,True,200,0,140.20256352424622,"[0.0, 0.0, 0.0]",6.368603148681982,0.0,0
108,True,200,2,62.39835596084595,"[0.0, 0.0, 0.0]",6.407582588474605,0.0,0
109,True,200,3,79.80196046829224,"[0.0, 0.0, 0.0]",6.466600836552296,0.0,0
110,False,200,3,80.00510764122009,"[0.0, 0.0, 0.0]",6.526542166067295,0.0,0
111,True,200,0,140.7067437171936,"[0.0, 0.0, 0.0]",6.630467626897181,0.0,0
112,True,200,2,142.0963306427002,"[0.0, 0.25, 0.0]",6.73438536089102,0.0,0
113,True,200,1,42.003697872161865,"[0.0, 0.5, 0.0]",6.751736656443714,0.0,0
114,True,200,0,139.90271401405334,"[0.0, 0.5, 0.0]",6.853830924902949,0.0,0
115,False,200,2,144.50136470794678,"[0.5, 0.5, 0.0]",6.958743326888126,0.0,0
116,False,200,2,136.60128355026245,"[0.0, 0.75, 0.0]",7.06219695064372,0.0,0
117,False,200,2,125.05270099639893,"[0.0, 0.75, 0.0]",7.161546877626673,0.0,0
118,True,200,1,4.477567434310913,"[0.0, 0.5, 0.0]",7.158913479030183,0.0,0
119,True,200,0,4.607812166213989,"[0.0, 0.5, 0.0]",7.156435517679894,0.0,0
120,False,200,0,49.627979040145874,"[0.0, 0.5, 0.0]",7.192253493856876,0.0,0
121,False,200,2,37.97314929962158,"[0.0, 0.5, 0.0]",7.218113707847336,0.0,0
122,True,200,3,4.629093408584595,"[0.0, 0.5, 0.0]",7.215594640705883,0.0,0
123,True,200,1,4.654658555984497,"[0.0, 0.5, 0.0]",7.213031770822755,0.0,0
124,False,200,2,38.78899836540222,"[0.0, 0.5, 0.0]",7.239501136960975,0.0,0
125,True,200,0,4.670107364654541,"[0.0, 0.5, 0.0]",7.237016974667371,0.0,0
126,True,200,1,4.520212411880493,"[0.0, 0.5, 0.0]",7.234412584135232,0.0,0
127,True,200,3,4.556980609893799,"[0.0, 0.5, 0.0]",7.23183512970074,0.0,0
128,False,200,0,39.89889430999756,"[0.0, 0.5, 0.0]",7.259104050122774,0.0,0
129,False,200,3,37.831337690353394,"[0.0, 0.5, 0.0]",7.284554476874906,0.0,0
130,False,200,0,41.69500780105591,"[0.0, 0.5, 0.0]",7.313284512209993,0.0,0
131,True,200,0,4.607921600341797,"[0.0, 0.5, 0.0]",7.310697380447066,0.0,0
132,True,200,2,4.590352773666382,"[0.0, 0.5, 0.0]",7.308098714695121,0.0,0
133,True,200,3,4.6002256870269775,"[0.0, 0.5, 0.0]",7.305508089988721,0.0,0
134,True,200,0,4.585216522216797,"[0.0, 0.5, 0.0]",7.302883938644191,0.0,0
135,True,200,1,4.595571279525757,"[0.0, 0.5, 0.0]",7.300299070262107,0.0,0
136,True,200,0,4.541841506958008,"[0.0, 0.5, 0.0]",7.297676126262303,0.0,0
137,True,200,1,4.556166887283325,"[0.0, 0.5, 0.0]",7.295072999976625,0.0,0
138,True,200,0,4.570805788040161,"[0.0, 0.5, 0.0]",7.292477882717801,0.0,0
139,True,200,0,4.544912576675415,"[0.0, 0.5, 0.0]",7.289870651323392,0.0,0
140,False,200,2,39.55127668380737,"[0.0, 0.5, 0.0]",7.316512562939312,0.0,0
141,True,200,3,4.563314914703369,"[0.0, 0.5, 0.0]",7.3139107075822,0.0,0
142,False,200,3,4.767578125,"[0.0, 0.5, 0.0]",7.311482282111121,0.0,0
143,False,200,2,4.680238723754883,"[0.0, 0.5, 0.0]",7.308960816896022,0.0,0
144,True,200,2,4.656101942062378,"[0.0, 0.5, 0.0]",7.306438493171863,0.0,0
145,False,200,3,5.173830270767212,"[0.0, 0.5, 0.0]",7.303916245102882,0.0,0
146,False,200,0,4.6204564571380615,"[0.0, 0.5, 0.0]",7.3013801302739125,0.0,0
147,True,200,0,4.600196599960327,"[0.0, 0.5, 0.0]",7.2988407826066615,0.0,0
148,False,200,0,4.584541082382202,"[0.0, 0.5, 0.0]",7.296289265205339,0.0,0
149,False,200,0,4.598543405532837,"[0.0, 0.5, 0.0]",7.2937499754056585,0.0,0
