Episode,Video,Status_Code,TimeSleep,ResponseTime,ServerLoads,MRT,QL
0,True,200,3,4.951807498931885,"[0.0, 0.0, 0.0]",4.376709461212158,0.0
1,False,200,3,4.662622690200806,"[0.0, 0.0, 0.0]",4.333736181259155,0.0
2,True,200,2,4.568283319473267,"[0.0, 0.0, 0.0]",4.288902918497722,0.0
3,False,200,1,70.16386556625366,"[0.0, 0.0, 0.0]",20.66385906934738,0.0
4,True,200,2,4.605289936065674,"[0.0, 0.0, 0.0]",17.377541732788085,0.0
5,False,200,1,68.45174503326416,"[0.0, 0.0, 0.0]",25.830649097760517,0.0
6,False,200,3,69.93446755409241,"[0.0, 0.0, 0.0]",32.077204431806294,0.0
7,False,200,2,71.59509634971619,"[0.0, 0.0, 0.0]",36.96962180733681,0.0
8,True,200,3,4.604695558547974,"[0.0, 0.0, 0.0]",33.3323438167572,0.0
9,False,200,0,71.37893533706665,"[0.0, 0.0, 0.0]",37.099197673797605,0.0
10,False,200,2,72.66596555709839,"[0.0, 0.0, 0.0]",40.292320403185755,0.0
11,True,200,1,4.796962738037109,"[0.0, 0.0, 0.0]",37.30361797412237,0.0
12,True,200,3,4.791516542434692,"[0.0, 0.0, 0.0]",34.77315143438486,0.0
13,True,200,2,4.63472056388855,"[0.0, 0.0, 0.0]",32.59104447705405,0.0
14,False,200,0,70.7458004951477,"[0.0, 0.0, 0.0]",35.10611632664998,0.0
15,False,200,2,69.05365371704102,"[0.0, 0.0, 0.0]",37.203521117568016,0.0
16,True,200,2,4.722541093826294,"[0.0, 0.0, 0.0]",35.27054379968082,0.0
17,True,200,1,4.613377332687378,"[0.0, 0.0, 0.0]",33.546593560112846,0.0
18,True,200,1,4.651269912719727,"[0.0, 0.0, 0.0]",32.005052629270054,0.0
19,True,200,1,4.630048751831055,"[0.0, 0.0, 0.0]",30.61814478635788,0.0
20,True,200,2,4.621847629547119,"[0.0, 0.0, 0.0]",29.362510737918672,0.0
21,True,200,2,4.67196249961853,"[0.0, 0.0, 0.0]",28.223647713661194,0.0
22,True,200,3,4.614403486251831,"[0.0, 0.0, 0.0]",27.180521042450614,0.0
23,True,200,2,4.552887439727783,"[0.0, 0.0, 0.0]",26.222925345102947,0.0
