Episode,Video,Status_Code,TimeSleep,ResponseTime,ServerLoads,MRT,QL,CountErrors
0,True,200,3,4.5768702030181885,"[0.0, 0.0, 0.0]",7.137432369770425,0.0,0
1,False,200,2,4.564431428909302,"[0.0, 0.0, 0.0]",7.1318747113918315,0.0,0
2,True,200,3,4.525349378585815,"[0.0, 0.0, 0.0]",7.126276828208059,0.0,0
3,True,200,3,4.537325382232666,"[0.0, 0.0, 0.0]",7.120712903035338,0.0,0
4,True,200,3,4.545918941497803,"[0.0, 0.0, 0.0]",7.115193860871451,0.0,0
5,True,200,3,4.595659255981445,"[0.0, 0.0, 0.0]",7.109805583059229,0.0,0
6,True,200,2,4.563822507858276,"[0.0, 0.0, 0.0]",7.104347370983509,0.0,0
7,False,200,3,4.550764560699463,"[0.0, 0.0, 0.0]",7.098886657429633,0.0,0
8,True,200,1,4.5557355880737305,"[0.0, 0.0, 0.0]",7.0934617510482445,0.0,0
9,True,200,0,4.821190595626831,"[0.0, 0.0, 0.0]",7.088539103999929,0.0,0
10,False,200,2,4.558453798294067,"[0.0, 0.0, 0.0]",7.083180437743885,0.0,0
11,True,200,2,4.547520875930786,"[0.0, 0.0, 0.0]",7.077805189564409,0.0,0
12,False,200,2,4.543027639389038,"[0.0, 0.0, 0.0]",7.072444922394222,0.0,0
13,False,200,2,4.535587310791016,"[0.0, 0.0, 0.0]",7.067085415069806,0.0,0
14,True,200,1,4.5336997509002686,"[0.0, 0.0, 0.0]",7.061756840491207,0.0,0
15,False,200,2,4.551481008529663,"[0.0, 0.0, 0.0]",7.056466173291426,0.0,0
16,True,200,3,4.556697130203247,"[0.0, 0.0, 0.0]",7.051172688603401,0.0,0
17,True,200,1,4.540754556655884,"[0.0, 0.0, 0.0]",7.045886761114138,0.0,0
18,False,200,1,4.540987253189087,"[0.0, 0.0, 0.0]",7.040618146295513,0.0,0
19,False,200,2,4.537067651748657,"[0.0, 0.0, 0.0]",7.035397625056656,0.0,0
20,False,200,3,4.544738054275513,"[0.0, 0.0, 0.0]",7.030213448688062,0.0,0
21,False,200,3,4.544816732406616,"[0.0, 0.0, 0.0]",7.025022218353327,0.0,0
22,True,200,0,4.527168273925781,"[0.0, 0.0, 0.0]",7.019826951460405,0.0,0
23,True,200,2,4.525262117385864,"[0.0, 0.0, 0.0]",7.014645545322536,0.0,0
24,False,200,1,4.549685001373291,"[0.0, 0.0, 0.0]",7.009531904389893,0.0,0
25,False,200,1,4.547163963317871,"[0.0, 0.0, 0.0]",7.004431327040329,0.0,0
26,True,200,3,4.589020490646362,"[0.0, 0.0, 0.0]",6.999410189876487,0.0,0
27,True,200,0,4.559990882873535,"[0.0, 0.0, 0.0]",6.9943565566260535,0.0,0
28,True,200,3,4.540245056152344,"[0.0, 0.0, 0.0]",6.98929053416355,0.0,0
29,False,200,0,4.539323091506958,"[0.0, 0.0, 0.0]",6.984255717087477,0.0,0
30,True,200,3,4.601681470870972,"[0.0, 0.0, 0.0]",6.979354068797122,0.0,0
31,False,200,1,4.519325017929077,"[0.0, 0.0, 0.0]",6.974313693737515,0.0,0
32,False,200,3,4.5128490924835205,"[0.0, 0.0, 0.0]",6.96927030810288,0.0,0
33,True,200,2,4.5222327709198,"[0.0, 0.0, 0.0]",6.9642546742145175,0.0,0
34,False,200,1,4.516624927520752,"[0.0, 0.0, 0.0]",6.9592697302217585,0.0,0
35,True,200,1,4.526943206787109,"[0.0, 0.0, 0.0]",6.954320515027901,0.0,0
36,True,200,3,4.55576491355896,"[0.0, 0.0, 0.0]",6.949422814744584,0.0,0
37,True,200,2,4.528318166732788,"[0.0, 0.0, 0.0]",6.944494785038771,0.0,0
38,True,200,3,4.568947076797485,"[0.0, 0.0, 0.0]",6.939649085695247,0.0,0
39,True,200,1,4.560178995132446,"[0.0, 0.0, 0.0]",6.934824307339111,0.0,0
40,True,200,2,4.542240619659424,"[0.0, 0.0, 0.0]",6.929991319145955,0.0,0
41,False,200,0,4.527843475341797,"[0.0, 0.0, 0.0]",6.925133727346866,0.0,0
42,True,200,1,4.550225019454956,"[0.0, 0.0, 0.0]",6.920339066522163,0.0,0
43,False,200,1,4.524867057800293,"[0.0, 0.0, 0.0]",6.9155036601418995,0.0,0
44,True,200,1,4.558863878250122,"[0.0, 0.0, 0.0]",6.9107648801136685,0.0,0
45,True,200,0,4.529039144515991,"[0.0, 0.0, 0.0]",6.905994496420416,0.0,0
46,False,200,1,4.545140266418457,"[0.0, 0.0, 0.0]",6.901251601009834,0.0,0
