Episode,Video,Status_Code,TimeSleep,ResponseTime,ServerLoads,MRT,QL,CountErrors
0,True,200,1,5.285411357879639,"[0.0, 0.5, 0.0]",4.71430516242981,0.0,0
1,False,200,0,120.58252120018005,"[0.0, 0.75, 0.0]",62.46172499656677,0.0,0
2,True,200,2,4.807201862335205,"[0.0, 0.75, 0.0]",43.115304152170815,0.0,0
3,True,200,1,4.610182046890259,"[0.0, 0.75, 0.0]",33.39659106731415,0.0,0
4,True,200,3,4.819542646408081,"[0.0, 0.75, 0.0]",27.601789712905884,0.0,0
5,True,200,3,4.683361053466797,"[0.0, 0.75, 0.0]",23.721577564875286,0.0,0
6,True,200,1,4.719226598739624,"[0.0, 0.75, 0.0]",20.950675657817296,0.0,0
7,True,200,2,4.71790623664856,"[0.0, 0.75, 0.0]",18.87334156036377,0.0,0
8,False,200,0,4.7045557498931885,"[0.0, 0.75, 0.0]",17.257166783014934,0.0,0
9,True,200,0,5.5137481689453125,"[0.0, 0.75, 0.0]",16.047131967544555,0.0,0
10,True,200,2,6.024913549423218,"[0.0, 0.75, 0.0]",15.06643329967152,0.0,0
11,True,200,2,6.435164451599121,"[0.0, 0.5, 0.0]",14.272123793760935,0.0,0
12,True,200,3,8.80872917175293,"[0.0, 0.5, 0.0]",13.716861229676466,0.0,0
13,True,200,0,11.57546329498291,"[0.0, 0.5, 0.0]",13.533818210874285,0.0,0
14,True,200,3,4.679187059402466,"[0.0, 0.5, 0.0]",12.919775787989298,0.0,0
15,False,200,1,4.6820068359375,"[0.0, 0.5, 0.0]",12.382309705018997,0.0,0
16,True,200,0,4.672134160995483,"[0.0, 0.5, 0.0]",11.907287555582384,0.0,0
17,True,200,1,4.695613145828247,"[0.0, 0.5, 0.0]",11.483465247684055,0.0,0
18,True,200,1,4.631746053695679,"[0.0, 0.5, 0.0]",11.10419189302545,0.0,0
19,False,200,3,4.6492815017700195,"[0.0, 0.5, 0.0]",10.762382459640502,0.0,0
20,True,200,3,4.616764068603516,"[0.0, 0.5, 0.0]",10.452508052190145,0.0,0
