Episode,Video,Status_Code,TimeSleep,ResponseTime,ServerLoads,MRT,QL,CountErrors
0,False,200,2,120.70214462280273,"[0.5, 0.0, 0.0]",120.21278285980225,0.0,0
1,False,200,1,120.5639021396637,"[0.0, 0.25, 0.0]",120.20722782611847,0.0,0
2,False,200,3,120.57664632797241,"[0.0, 0.25, 0.0]",120.21040717760722,0.0,0
3,True,200,0,8.061418294906616,"[0.0, 0.25, 0.0]",92.08367681503296,0.0,0
4,False,200,2,120.57149505615234,"[0.0, 0.25, 0.0]",97.7088306903839,0.0,0
5,True,200,3,5.643964052200317,"[0.0, 0.25, 0.0]",82.30263006687164,0.0,0
6,False,200,1,120.5754337310791,"[0.0, 0.25, 0.0]",87.71738290786743,0.0,0
7,True,200,2,4.811670541763306,"[0.0, 0.25, 0.0]",77.308399528265,0.0,0
8,False,200,0,4.65937066078186,"[0.0, 0.25, 0.0]",69.19645876354642,0.0,0
9,True,200,3,4.627656936645508,"[0.0, 0.25, 0.0]",62.704095530509946,0.0,0
10,False,200,3,4.6241044998168945,"[0.0, 0.25, 0.0]",57.391050880605526,0.0,0
11,True,200,3,4.595910310745239,"[0.0, 0.25, 0.0]",52.96109984318415,0.0,0
12,True,200,3,4.601931810379028,"[0.0, 0.25, 0.0]",49.211699320719795,0.0,0
13,True,200,0,4.603547811508179,"[0.0, 0.25, 0.0]",45.99992883205414,0.0,0
14,True,200,2,4.579780340194702,"[0.0, 0.25, 0.0]",43.214867226282756,0.0,0
15,True,200,1,4.619425296783447,"[0.0, 0.25, 0.0]",40.779863461852074,0.0,0
16,True,200,2,4.580591201782227,"[0.0, 0.0, 0.0]",38.628558579613184,0.0,0
17,False,200,0,4.597191572189331,"[0.0, 0.0, 0.0]",36.71763143274519,0.0,0
18,True,200,3,4.579858303070068,"[0.0, 0.0, 0.0]",35.00719680284199,0.0,0
19,True,200,3,4.554392337799072,"[0.0, 0.0, 0.0]",33.466506123542786,0.0,0
20,True,200,2,4.593336582183838,"[0.0, 0.0, 0.0]",32.07438375836327,0.0,0
21,True,200,2,4.580995798110962,"[0.0, 0.0, 0.0]",30.808096105402168,0.0,0
22,True,200,3,4.566806077957153,"[0.0, 0.0, 0.0]",29.65062357031781,0.0,0
23,False,200,0,4.5694420337677,"[0.0, 0.0, 0.0]",28.59057053923607,0.0,0
24,True,200,0,4.573813199996948,"[0.0, 0.0, 0.0]",27.6156983089447,0.0,0
25,False,200,1,4.593433856964111,"[0.0, 0.0, 0.0]",26.71589883474203,0.0,0
26,True,200,3,4.541039943695068,"[0.0, 0.0, 0.0]",25.881337889918573,0.0,0
27,False,200,0,4.556122779846191,"[0.0, 0.0, 0.0]",25.10665397133146,0.0,0
28,False,200,1,4.567543268203735,"[0.0, 0.0, 0.0]",24.386110437327417,0.0,0
29,True,200,1,4.5788514614105225,"[0.0, 0.0, 0.0]",23.714020323753356,0.0,0
30,False,200,3,4.734822750091553,"[0.0, 0.0, 0.0]",23.090040683746338,0.0,0
31,True,200,0,4.553615093231201,"[0.0, 0.0, 0.0]",22.49941525608301,0.0,0
32,True,200,1,4.564070463180542,"[0.0, 0.0, 0.0]",21.94453899788134,0.0,0
33,True,200,1,5.613940954208374,"[0.0, 0.0, 0.0]",21.45376929816078,0.0,0
34,True,200,0,4.724443197250366,"[0.0, 0.0, 0.0]",20.96551670346941,0.0,0
35,True,200,2,4.7112038135528564,"[0.0, 0.0, 0.0]",20.50333446264267,0.0,0
36,False,200,1,4.851954221725464,"[0.0, 0.0, 0.0]",20.07041358947754,0.0,0
37,False,200,2,4.895869255065918,"[0.0, 0.0, 0.0]",19.661441846897727,0.0,0
38,False,200,0,5.335720539093018,"[0.0, 0.0, 0.0]",19.28495992758335,0.0,0
39,True,200,0,6.784789562225342,"[0.0, 0.0, 0.0]",18.96344138979912,0.0,0
40,True,200,0,5.178544282913208,"[0.0, 0.0, 0.0]",18.616632409212066,0.0,0
41,False,200,0,5.433746099472046,"[0.0, 0.0, 0.0]",18.294197309584845,0.0,0
42,False,200,3,5.183499336242676,"[0.0, 0.0, 0.0]",17.979067647179892,0.0,0
43,False,200,1,12.150918960571289,"[0.0, 0.0, 0.0]",17.83814527229829,0.0,0
