Episode,Video,Status_Code,TimeSleep,ResponseTime,ServerLoads,MRT,QL,CountErrors
0,True,200,1,4.602556467056274,"[0.0, 0.5, 0.0]",13.73926165970889,0.0,0
1,False,200,0,37.768977880477905,"[0.0, 0.5, 0.0]",13.783922024620503,0.0,0
2,True,200,2,4.6452813148498535,"[0.0, 0.5, 0.0]",13.765970263841018,0.0,0
3,False,200,0,39.51992964744568,"[0.0, 0.5, 0.0]",13.813750834114808,0.0,0
4,True,200,1,4.62141227722168,"[0.0, 0.5, 0.0]",13.795780829469065,0.0,0
5,True,200,1,4.587172031402588,"[0.0, 0.5, 0.0]",13.777824891664745,0.0,0
6,False,200,1,40.36418151855469,"[0.0, 0.5, 0.0]",13.8268865971976,0.0,0
7,True,200,2,4.60972785949707,"[0.0, 0.5, 0.0]",13.808962949859762,0.0,0
8,True,200,1,4.626303195953369,"[0.0, 0.5, 0.0]",13.791140075050183,0.0,0
9,False,200,2,40.24739193916321,"[0.0, 0.5, 0.0]",13.839717458746287,0.0,0
10,True,200,2,4.655425310134888,"[0.0, 0.5, 0.0]",13.821961593893825,0.0,0
11,False,200,1,39.52714538574219,"[0.0, 0.5, 0.0]",13.86894930315814,0.0,0
12,False,200,3,40.60273790359497,"[0.0, 0.5, 0.0]",13.917773754066891,0.0,0
13,True,200,3,4.6250269412994385,"[0.0, 0.5, 0.0]",13.89989538069353,0.0,0
14,True,200,1,4.609111309051514,"[0.0, 0.5, 0.0]",13.882081057312744,0.0,0
15,False,200,3,39.733420848846436,"[0.0, 0.5, 0.0]",13.92899372696218,0.0,0
16,False,200,0,39.40361523628235,"[0.0, 0.5, 0.0]",13.97511663200224,0.0,0
17,True,200,3,5.06367039680481,"[0.0, 0.5, 0.0]",13.958059549331665,0.0,0
18,True,200,2,4.930119037628174,"[0.0, 0.5, 0.0]",13.940835429198575,0.0,0
19,True,200,3,4.762492656707764,"[0.0, 0.5, 0.0]",13.923365691462209,0.0,0
20,False,200,3,39.71723651885986,"[0.0, 0.5, 0.0]",13.969736543450042,0.0,0
21,False,200,0,37.68008494377136,"[0.0, 0.5, 0.0]",14.01224587784439,0.0,0
22,True,200,2,4.638647079467773,"[0.0, 0.5, 0.0]",13.994534239768981,0.0,0
23,True,200,3,4.662244558334351,"[0.0, 0.5, 0.0]",13.976786241340983,0.0,0
24,False,200,0,39.87744927406311,"[0.0, 0.5, 0.0]",14.023039631653523,0.0,0
25,False,200,1,37.08534121513367,"[0.0, 0.5, 0.0]",14.064055926545404,0.0,0
26,True,200,3,4.628474235534668,"[0.0, 0.5, 0.0]",14.046347419277426,0.0,0
27,True,200,0,4.599785089492798,"[0.0, 0.5, 0.0]",14.028657320383433,0.0,0
28,True,200,3,4.835023641586304,"[0.0, 0.5, 0.0]",14.01141421443267,0.0,0
29,True,200,2,4.594435214996338,"[0.0, 0.5, 0.0]",13.993848300707832,0.0,0
30,True,200,0,4.684354782104492,"[0.0, 0.5, 0.0]",13.976476533865844,0.0,0
31,True,200,3,4.6202356815338135,"[0.0, 0.5, 0.0]",13.9590729434503,0.0,0
32,True,200,2,4.798271417617798,"[0.0, 0.5, 0.0]",13.942041422639575,0.0,0
33,False,200,1,41.500221967697144,"[0.0, 0.5, 0.0]",13.990478285281203,0.0,0
34,True,200,2,4.840015411376953,"[0.0, 0.5, 0.0]",13.9735443532679,0.0,0
35,True,200,3,4.667138338088989,"[0.0, 0.5, 0.0]",13.956362786555587,0.0,0
36,True,200,3,4.585975170135498,"[0.0, 0.5, 0.0]",13.93908612821119,0.0,0
37,True,200,3,4.703800678253174,"[0.0, 0.5, 0.0]",13.922066595280064,0.0,0
